open;close;high;low;value;volume;begin;end
20415;20315;20427;20304;0;10550;2019-03-11 10:00:00;2019-03-11 10:00:59
20315;20370;20378;20311;0;5005;2019-03-11 10:01:00;2019-03-11 10:01:59
20373;20403;20420;20368;0;1865;2019-03-11 10:02:00;2019-03-11 10:02:59
20400;20405;20405;20390;0;776;2019-03-11 10:03:00;2019-03-11 10:03:59
20405;20425;20425;20400;0;1759;2019-03-11 10:04:00;2019-03-11 10:04:59
20424;20420;20438;20407;0;1681;2019-03-11 10:05:00;2019-03-11 10:05:59
20419;20408;20426;20406;0;739;2019-03-11 10:06:00;2019-03-11 10:06:59
20411;20413;20414;20402;0;784;2019-03-11 10:07:00;2019-03-11 10:07:59
20412;20412;20413;20400;0;1363;2019-03-11 10:08:00;2019-03-11 10:08:59
20409;20400;20411;20395;0;1438;2019-03-11 10:09:00;2019-03-11 10:09:59
20399;20402;20410;20393;0;1238;2019-03-11 10:10:00;2019-03-11 10:10:59
20402;20414;20424;20394;0;993;2019-03-11 10:11:00;2019-03-11 10:11:59
20415;20436;20439;20415;0;1786;2019-03-11 10:12:00;2019-03-11 10:12:59
20439;20444;20458;20434;0;2117;2019-03-11 10:13:00;2019-03-11 10:13:59
20444;20436;20445;20429;0;939;2019-03-11 10:14:00;2019-03-11 10:14:59
20436;20436;20439;20425;0;1028;2019-03-11 10:15:00;2019-03-11 10:15:59
20438;20431;20448;20430;0;1150;2019-03-11 10:16:00;2019-03-11 10:16:59
20432;20411;20440;20411;0;1129;2019-03-11 10:17:00;2019-03-11 10:17:59
20412;20457;20462;20406;0;4157;2019-03-11 10:18:00;2019-03-11 10:18:59
20457;20451;20464;20435;0;2477;2019-03-11 10:19:00;2019-03-11 10:19:59
20450;20457;20470;20448;0;2757;2019-03-11 10:20:00;2019-03-11 10:20:59
20456;20460;20466;20453;0;779;2019-03-11 10:21:00;2019-03-11 10:21:59
20460;20463;20466;20454;0;507;2019-03-11 10:22:00;2019-03-11 10:22:59
20463;20451;20464;20451;0;395;2019-03-11 10:23:00;2019-03-11 10:23:59
20451;20460;20462;20438;0;2971;2019-03-11 10:24:00;2019-03-11 10:24:59
20461;20447;20461;20447;0;581;2019-03-11 10:25:00;2019-03-11 10:25:59
20447;20445;20448;20440;0;441;2019-03-11 10:26:00;2019-03-11 10:26:59
20446;20460;20470;20445;0;982;2019-03-11 10:27:00;2019-03-11 10:27:59
20461;20463;20467;20459;0;430;2019-03-11 10:28:00;2019-03-11 10:28:59
20460;20464;20470;20455;0;815;2019-03-11 10:29:00;2019-03-11 10:29:59
20463;20466;20480;20463;0;2163;2019-03-11 10:30:00;2019-03-11 10:30:59
20468;20469;20473;20466;0;230;2019-03-11 10:31:00;2019-03-11 10:31:59
20473;20474;20477;20465;0;352;2019-03-11 10:32:00;2019-03-11 10:32:59
20473;20466;20481;20465;0;607;2019-03-11 10:33:00;2019-03-11 10:33:59
20467;20467;20476;20465;0;337;2019-03-11 10:34:00;2019-03-11 10:34:59
