open;close;high;low;value;volume;begin;end
20521;20509;20538;20496;0;3947;2019-03-13 10:00:00;2019-03-13 10:00:59
20509;20519;20536;20507;0;1951;2019-03-13 10:01:00;2019-03-13 10:01:59
20519;20506;20520;20500;0;1265;2019-03-13 10:02:00;2019-03-13 10:02:59
20509;20493;20514;20488;0;1853;2019-03-13 10:03:00;2019-03-13 10:03:59
20494;20498;20511;20494;0;569;2019-03-13 10:04:00;2019-03-13 10:04:59
20497;20502;20507;20494;0;668;2019-03-13 10:05:00;2019-03-13 10:05:59
20501;20489;20505;20489;0;985;2019-03-13 10:06:00;2019-03-13 10:06:59
20490;20511;20518;20489;0;1836;2019-03-13 10:07:00;2019-03-13 10:07:59
20511;20532;20533;20506;0;734;2019-03-13 10:08:00;2019-03-13 10:08:59
20530;20520;20539;20518;0;1252;2019-03-13 10:09:00;2019-03-13 10:09:59
20519;20532;20536;20518;0;407;2019-03-13 10:10:00;2019-03-13 10:10:59
20535;20520;20536;20516;0;432;2019-03-13 10:11:00;2019-03-13 10:11:59
20517;20516;20525;20513;0;416;2019-03-13 10:12:00;2019-03-13 10:12:59
20515;20510;20521;20508;0;537;2019-03-13 10:13:00;2019-03-13 10:13:59
20509;20504;20509;20500;0;1058;2019-03-13 10:14:00;2019-03-13 10:14:59
20504;20512;20516;20495;0;568;2019-03-13 10:15:00;2019-03-13 10:15:59
20512;20508;20516;20504;0;258;2019-03-13 10:16:00;2019-03-13 10:16:59
20508;20517;20519;20507;0;309;2019-03-13 10:17:00;2019-03-13 10:17:59
20518;20513;20519;20509;0;574;2019-03-13 10:18:00;2019-03-13 10:18:59
20513;20517;20520;20508;0;169;2019-03-13 10:19:00;2019-03-13 10:19:59
20516;20508;20518;20508;0;224;2019-03-13 10:20:00;2019-03-13 10:20:59
20508;20510;20519;20504;0;342;2019-03-13 10:21:00;2019-03-13 10:21:59
20511;20524;20525;20510;0;360;2019-03-13 10:22:00;2019-03-13 10:22:59
20522;20543;20543;20517;0;1659;2019-03-13 10:23:00;2019-03-13 10:23:59
20541;20525;20547;20521;0;1504;2019-03-13 10:24:00;2019-03-13 10:24:59
20523;20529;20537;20521;0;424;2019-03-13 10:25:00;2019-03-13 10:25:59
20528;20534;20540;20528;0;711;2019-03-13 10:26:00;2019-03-13 10:26:59
20531;20535;20541;20530;0;335;2019-03-13 10:27:00;2019-03-13 10:27:59
20536;20529;20540;20525;0;447;2019-03-13 10:28:00;2019-03-13 10:28:59
20532;20530;20538;20521;0;365;2019-03-13 10:29:00;2019-03-13 10:29:59
20528;20530;20536;20521;0;335;2019-03-13 10:30:00;2019-03-13 10:30:59
20533;20535;20540;20530;0;346;2019-03-13 10:31:00;2019-03-13 10:31:59
20534;20533;20536;20532;0;58;2019-03-13 10:32:00;2019-03-13 10:32:59
20533;20524;20534;20518;0;344;2019-03-13 10:33:00;2019-03-13 10:33:59
20524;20529;20537;20524;0;318;2019-03-13 10:34:00;2019-03-13 10:34:59
20526;20527;20530;20522;0;95;2019-03-13 10:35:00;2019-03-13 10:35:59
20526;20520;20528;20520;0;167;2019-03-13 10:36:00;2019-03-13 10:36:59
20520;20521;20522;20512;0;591;2019-03-13 10:37:00;2019-03-13 10:37:59
20519;20518;20521;20514;0;101;2019-03-13 10:38:00;2019-03-13 10:38:59
20518;20514;20523;20513;0;314;2019-03-13 10:39:00;2019-03-13 10:39:59
20514;20527;20531;20513;0;407;2019-03-13 10:40:00;2019-03-13 10:40:59
20527;20523;20528;20523;0;27;2019-03-13 10:41:00;2019-03-13 10:41:59
20525;20522;20526;20522;0;111;2019-03-13 10:42:00;2019-03-13 10:42:59
20522;20511;20522;20511;0;178;2019-03-13 10:43:00;2019-03-13 10:43:59
20512;20507;20514;20502;0;1777;2019-03-13 10:44:00;2019-03-13 10:44:59
20508;20459;20508;20452;0;7877;2019-03-13 10:45:00;2019-03-13 10:45:59
20459;20458;20477;20450;0;3592;2019-03-13 10:46:00;2019-03-13 10:46:59
20456;20455;20464;20450;0;2149;2019-03-13 10:47:00;2019-03-13 10:47:59
20458;20461;20463;20452;0;528;2019-03-13 10:48:00;2019-03-13 10:48:59
20460;20462;20464;20452;0;763;2019-03-13 10:49:00;2019-03-13 10:49:59
20462;20461;20465;20459;0;537;2019-03-13 10:50:00;2019-03-13 10:50:59
20464;20437;20465;20432;0;2743;2019-03-13 10:51:00;2019-03-13 10:51:59
20435;20441;20442;20430;0;1807;2019-03-13 10:52:00;2019-03-13 10:52:59
20440;20438;20444;20430;0;827;2019-03-13 10:53:00;2019-03-13 10:53:59
20441;20445;20451;20436;0;720;2019-03-13 10:54:00;2019-03-13 10:54:59
20446;20434;20446;20433;0;1174;2019-03-13 10:55:00;2019-03-13 10:55:59
20433;20436;20436;20425;0;1197;2019-03-13 10:56:00;2019-03-13 10:56:59
20434;20436;20441;20426;0;555;2019-03-13 10:57:00;2019-03-13 10:57:59
20437;20445;20447;20434;0;454;2019-03-13 10:58:00;2019-03-13 10:58:59
20444;20445;20446;20436;0;491;2019-03-13 10:59:00;2019-03-13 10:59:59
20445;20424;20449;20423;0;2161;2019-03-13 11:00:00;2019-03-13 11:00:59
20424;20424;20431;20418;0;3630;2019-03-13 11:01:00;2019-03-13 11:01:59
20427;20428;20429;20418;0;1855;2019-03-13 11:02:00;2019-03-13 11:02:59
20428;20433;20435;20424;0;878;2019-03-13 11:03:00;2019-03-13 11:03:59
20435;20438;20439;20429;0;977;2019-03-13 11:04:00;2019-03-13 11:04:59
20437;20436;20441;20428;0;599;2019-03-13 11:05:00;2019-03-13 11:05:59
20438;20454;20457;20438;0;1412;2019-03-13 11:06:00;2019-03-13 11:06:59
20454;20452;20456;20443;0;566;2019-03-13 11:07:00;2019-03-13 11:07:59
20452;20451;20458;20450;0;518;2019-03-13 11:08:00;2019-03-13 11:08:59
20452;20450;20454;20437;0;945;2019-03-13 11:09:00;2019-03-13 11:09:59
20450;20461;20463;20447;0;1233;2019-03-13 11:10:00;2019-03-13 11:10:59
20462;20452;20464;20452;0;386;2019-03-13 11:11:00;2019-03-13 11:11:59
20454;20450;20463;20444;0;1390;2019-03-13 11:12:00;2019-03-13 11:12:59
20449;20458;20460;20445;0;271;2019-03-13 11:13:00;2019-03-13 11:13:59
20458;20458;20462;20451;0;283;2019-03-13 11:14:00;2019-03-13 11:14:59
20456;20461;20470;20453;0;1247;2019-03-13 11:15:00;2019-03-13 11:15:59
20461;20461;20465;20454;0;772;2019-03-13 11:16:00;2019-03-13 11:16:59
20465;20454;20466;20451;0;777;2019-03-13 11:17:00;2019-03-13 11:17:59
20454;20466;20468;20454;0;391;2019-03-13 11:18:00;2019-03-13 11:18:59
20466;20459;20471;20458;0;652;2019-03-13 11:19:00;2019-03-13 11:19:59
20459;20457;20464;20451;0;646;2019-03-13 11:20:00;2019-03-13 11:20:59
20455;20443;20456;20441;0;444;2019-03-13 11:21:00;2019-03-13 11:21:59
20442;20439;20446;20437;0;461;2019-03-13 11:22:00;2019-03-13 11:22:59
20439;20443;20448;20437;0;296;2019-03-13 11:23:00;2019-03-13 11:23:59
20443;20454;20457;20441;0;272;2019-03-13 11:24:00;2019-03-13 11:24:59
20454;20450;20454;20446;0;314;2019-03-13 11:25:00;2019-03-13 11:25:59
20449;20463;20465;20443;0;694;2019-03-13 11:26:00;2019-03-13 11:26:59
20461;20458;20466;20455;0;474;2019-03-13 11:27:00;2019-03-13 11:27:59
20459;20456;20469;20455;0;857;2019-03-13 11:28:00;2019-03-13 11:28:59
20456;20455;20459;20451;0;214;2019-03-13 11:29:00;2019-03-13 11:29:59
20456;20467;20470;20456;0;1083;2019-03-13 11:30:00;2019-03-13 11:30:59
20469;20477;20481;20466;0;1818;2019-03-13 11:31:00;2019-03-13 11:31:59
20477;20481;20483;20470;0;703;2019-03-13 11:32:00;2019-03-13 11:32:59
20482;20477;20484;20470;0;587;2019-03-13 11:33:00;2019-03-13 11:33:59
20476;20470;20478;20469;0;254;2019-03-13 11:34:00;2019-03-13 11:34:59
20470;20464;20473;20463;0;549;2019-03-13 11:35:00;2019-03-13 11:35:59
20463;20460;20465;20458;0;474;2019-03-13 11:36:00;2019-03-13 11:36:59
20460;20467;20468;20460;0;401;2019-03-13 11:37:00;2019-03-13 11:37:59
20465;20462;20466;20456;0;317;2019-03-13 11:38:00;2019-03-13 11:38:59
20462;20453;20462;20452;0;311;2019-03-13 11:39:00;2019-03-13 11:39:59
20454;20441;20456;20441;0;1134;2019-03-13 11:40:00;2019-03-13 11:40:59
20441;20448;20450;20440;0;482;2019-03-13 11:41:00;2019-03-13 11:41:59
20446;20450;20454;20444;0;542;2019-03-13 11:42:00;2019-03-13 11:42:59
20451;20438;20453;20433;0;598;2019-03-13 11:43:00;2019-03-13 11:43:59
20440;20447;20447;20437;0;200;2019-03-13 11:44:00;2019-03-13 11:44:59
20446;20450;20450;20441;0;306;2019-03-13 11:45:00;2019-03-13 11:45:59
20447;20452;20452;20444;0;159;2019-03-13 11:46:00;2019-03-13 11:46:59
20452;20460;20460;20449;0;381;2019-03-13 11:47:00;2019-03-13 11:47:59
20459;20462;20462;20454;0;267;2019-03-13 11:48:00;2019-03-13 11:48:59
